match_id,season,date,team1,team2,venue,toss_winner,toss_decision,team1_runs,team2_runs,team1_wickets,team2_wickets,form_team1,form_team2,team1_win
164,2009,2009-05-17,Kings XI Punjab,Deccan Chargers,New Wanderers Stadium,Deccan Chargers,field,134,133,7,8,0.6666666666666666,0.6666666666666666,1
165,2009,2009-05-17,Delhi Daredevils,Rajasthan Royals,OUTsurance Oval,Delhi Daredevils,bat,150,136,3,9,0.6666666666666666,0.3333333333333333,1
166,2009,2009-05-18,Chennai Super Kings,Kolkata Knight Riders,SuperSport Park,Chennai Super Kings,bat,188,189,3,3,0.6666666666666666,0.0,0
167,2009,2009-05-19,Delhi Daredevils,Royal Challengers Bangalore,New Wanderers Stadium,Delhi Daredevils,bat,134,135,7,3,0.6666666666666666,0.6666666666666666,0
168,2009,2009-05-20,Rajasthan Royals,Kolkata Knight Riders,Kingsmead,Kolkata Knight Riders,field,101,102,9,6,0.3333333333333333,0.3333333333333333,0
169,2009,2009-05-20,Chennai Super Kings,Kings XI Punjab,Kingsmead,Chennai Super Kings,bat,116,92,9,8,0.3333333333333333,0.6666666666666666,1
170,2009,2009-05-21,Mumbai Indians,Delhi Daredevils,SuperSport Park,Delhi Daredevils,field,165,166,8,6,0.3333333333333333,0.3333333333333333,0
171,2009,2009-05-21,Royal Challengers Bangalore,Deccan Chargers,SuperSport Park,Royal Challengers Bangalore,bat,170,158,4,6,1.0,0.3333333333333333,1
172,2009,2009-05-22,Delhi Daredevils,Deccan Chargers,SuperSport Park,Deccan Chargers,field,153,154,8,4,0.6666666666666666,0.3333333333333333,0
173,2009,2009-05-23,Chennai Super Kings,Royal Challengers Bangalore,New Wanderers Stadium,Royal Challengers Bangalore,field,146,149,5,4,0.6666666666666666,1.0,0
174,2009,2009-05-24,Deccan Chargers,Royal Challengers Bangalore,New Wanderers Stadium,Royal Challengers Bangalore,field,143,137,6,9,0.3333333333333333,1.0,1
175,2010,2010-03-12,Kolkata Knight Riders,Deccan Chargers,Dr DY Patil Sports Academy,Deccan Chargers,field,161,150,4,7,0.6666666666666666,0.6666666666666666,1
176,2010,2010-03-13,Mumbai Indians,Rajasthan Royals,Brabourne Stadium,Mumbai Indians,bat,212,208,7,7,0.0,0.3333333333333333,1
177,2010,2010-03-13,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,field,142,146,9,5,0.6666666666666666,0.3333333333333333,0
178,2010,2010-03-14,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,field,135,136,7,3,0.6666666666666666,1.0,0
179,2010,2010-03-14,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,bat,190,159,4,9,0.6666666666666666,0.3333333333333333,1
180,2010,2010-03-15,Rajasthan Royals,Delhi Daredevils,"Sardar Patel Stadium, Motera",Delhi Daredevils,field,141,142,6,4,0.0,0.6666666666666666,0
181,2010,2010-03-16,Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kings XI Punjab,bat,203,204,3,2,0.3333333333333333,0.3333333333333333,0
182,2010,2010-03-16,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Chennai Super Kings,bat,164,109,3,10,0.3333333333333333,1.0,1
183,2010,2010-03-17,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,218,120,7,9,0.3333333333333333,0.6666666666666666,1
184,2010,2010-03-18,Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,92,93,10,0,0.0,0.3333333333333333,0
185,2010,2010-03-19,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Delhi Daredevils,bat,185,190,6,5,0.6666666666666666,0.3333333333333333,0
186,2010,2010-03-19,Deccan Chargers,Kings XI Punjab,Barabati Stadium,Kings XI Punjab,field,170,164,8,8,0.6666666666666666,0.0,1
187,2010,2010-03-20,Rajasthan Royals,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",Rajasthan Royals,bat,168,134,7,5,0.0,0.6666666666666666,1
188,2010,2010-03-20,Mumbai Indians,Royal Challengers Bangalore,Brabourne Stadium,Mumbai Indians,bat,151,155,9,3,0.6666666666666666,0.6666666666666666,0
189,2010,2010-03-21,Deccan Chargers,Delhi Daredevils,Barabati Stadium,Deccan Chargers,bat,171,161,6,9,0.6666666666666666,0.3333333333333333,1
190,2010,2010-03-21,Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,field,136,136,8,7,0.0,0.6666666666666666,1
191,2010,2010-03-22,Kolkata Knight Riders,Mumbai Indians,Brabourne Stadium,Kolkata Knight Riders,bat,155,156,3,3,0.3333333333333333,0.6666666666666666,0
192,2010,2010-03-23,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,field,171,135,5,7,1.0,0.6666666666666666,1
193,2010,2010-03-24,Rajasthan Royals,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,field,183,152,5,10,0.3333333333333333,0.3333333333333333,1
194,2010,2010-03-25,Chennai Super Kings,Mumbai Indians,Brabourne Stadium,Mumbai Indians,field,180,181,2,5,0.3333333333333333,0.6666666666666666,0
197,2010,2010-03-25,Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,183,166,4,9,0.0,1.0,1
195,2010,2010-03-26,Deccan Chargers,Rajasthan Royals,"Sardar Patel Stadium, Motera",Deccan Chargers,bat,148,151,9,2,1.0,0.6666666666666666,0
196,2010,2010-03-27,Kolkata Knight Riders,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,bat,183,144,5,6,0.0,0.3333333333333333,1
198,2010,2010-03-28,Rajasthan Royals,Chennai Super Kings,"Sardar Patel Stadium, Motera",Rajasthan Royals,bat,177,160,8,6,1.0,0.0,1
199,2010,2010-03-28,Mumbai Indians,Deccan Chargers,Dr DY Patil Sports Academy,Deccan Chargers,field,172,131,7,10,0.6666666666666666,0.6666666666666666,1
200,2010,2010-03-29,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,177,137,4,9,0.3333333333333333,0.3333333333333333,1
201,2010,2010-03-30,Kings XI Punjab,Mumbai Indians,Brabourne Stadium,Mumbai Indians,field,163,164,10,6,0.3333333333333333,1.0,0
202,2010,2010-03-31,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,bat,161,162,4,5,0.6666666666666666,0.0,0
203,2010,2010-03-31,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Delhi Daredevils,bat,188,121,6,10,0.6666666666666666,1.0,1
204,2010,2010-04-01,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Kolkata Knight Riders,bat,181,157,6,5,0.3333333333333333,0.3333333333333333,1
205,2010,2010-04-02,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,181,184,5,4,0.0,0.3333333333333333,0
206,2010,2010-04-03,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,246,223,5,5,0.3333333333333333,0.6666666666666666,1
207,2010,2010-04-03,Mumbai Indians,Deccan Chargers,Brabourne Stadium,Mumbai Indians,bat,178,115,5,10,1.0,0.0,1
208,2010,2010-04-04,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,bat,200,204,3,2,0.6666666666666666,0.0,0
209,2010,2010-04-04,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi Daredevils,bat,184,147,5,9,1.0,0.3333333333333333,1
210,2010,2010-04-05,Rajasthan Royals,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",Rajasthan Royals,bat,159,157,10,10,0.3333333333333333,0.0,1
211,2010,2010-04-06,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,165,141,4,9,0.6666666666666666,1.0,1
212,2010,2010-04-07,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,Kings XI Punjab,bat,153,157,6,1,0.3333333333333333,0.3333333333333333,0
213,2010,2010-04-07,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,bat,181,167,3,8,0.3333333333333333,1.0,1
214,2010,2010-04-08,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Deccan Chargers,field,184,186,6,3,0.3333333333333333,0.0,0
215,2010,2010-04-09,Mumbai Indians,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,bat,154,158,9,4,0.6666666666666666,0.3333333333333333,0
216,2010,2010-04-10,Chennai Super Kings,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",Chennai Super Kings,bat,138,139,8,4,1.0,0.3333333333333333,0
217,2010,2010-04-10,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,160,162,9,3,0.6666666666666666,0.3333333333333333,0
218,2010,2010-04-11,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils,bat,111,112,10,3,0.6666666666666666,0.6666666666666666,0
219,2010,2010-04-11,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,174,137,5,8,0.3333333333333333,0.6666666666666666,1
220,2010,2010-04-12,Deccan Chargers,Royal Challengers Bangalore,"Vidarbha Cricket Association Stadium, Jamtha",Royal Challengers Bangalore,field,151,138,6,10,0.6666666666666666,0.3333333333333333,1
221,2010,2010-04-13,Mumbai Indians,Delhi Daredevils,Brabourne Stadium,Mumbai Indians,bat,183,144,4,7,0.3333333333333333,0.3333333333333333,1
222,2010,2010-04-13,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,bat,139,143,8,1,0.3333333333333333,0.6666666666666666,0
223,2010,2010-04-14,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Rajasthan Royals,bat,130,132,6,5,0.6666666666666666,0.3333333333333333,0
224,2010,2010-04-15,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,112,113,9,4,0.6666666666666666,0.0,0
225,2010,2010-04-16,Kings XI Punjab,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,Deccan Chargers,field,174,178,3,5,0.6666666666666666,1.0,0
226,2010,2010-04-17,Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,191,134,4,9,0.6666666666666666,0.6666666666666666,1
227,2010,2010-04-17,Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,Rajasthan Royals,bat,132,133,9,2,0.3333333333333333,0.3333333333333333,0
228,2010,2010-04-18,Kings XI Punjab,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,Chennai Super Kings,field,192,195,3,4,0.6666666666666666,0.3333333333333333,0
229,2010,2010-04-18,Deccan Chargers,Delhi Daredevils,Feroz Shah Kotla,Deccan Chargers,bat,145,134,7,7,1.0,0.3333333333333333,1
230,2010,2010-04-19,Mumbai Indians,Kolkata Knight Riders,Eden Gardens,Mumbai Indians,bat,133,135,8,1,1.0,0.3333333333333333,0
231,2010,2010-04-21,Mumbai Indians,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Mumbai Indians,bat,184,149,5,9,0.6666666666666666,0.3333333333333333,1
232,2010,2010-04-22,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,Chennai Super Kings,bat,142,104,7,10,0.6666666666666666,1.0,1
233,2010,2010-04-24,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Deccan Chargers,bat,82,86,10,1,0.6666666666666666,0.3333333333333333,0
234,2010,2010-04-25,Chennai Super Kings,Mumbai Indians,Dr DY Patil Sports Academy,Chennai Super Kings,bat,168,146,5,9,0.6666666666666666,0.6666666666666666,1
235,2011,2011-04-08,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,153,151,4,7,1.0,0.6666666666666666,1
236,2011,2011-04-09,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,field,137,141,8,2,0.3333333333333333,0.0,0
237,2011,2011-04-09,Kochi Tuskers Kerala,Royal Challengers Bangalore,Nehru Stadium,Kochi Tuskers Kerala,bat,161,162,5,4,0.5,0.3333333333333333,0
238,2011,2011-04-10,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi Daredevils,bat,95,99,10,2,0.3333333333333333,0.3333333333333333,0
239,2011,2011-04-10,Kings XI Punjab,Pune Warriors,Dr DY Patil Sports Academy,Kings XI Punjab,bat,112,113,8,3,0.3333333333333333,0.5,0
240,2011,2011-04-11,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Kolkata Knight Riders,bat,163,154,4,8,0.6666666666666666,0.0,1
